,State,State#,Total State Population,Males under 18 years,Males 18 and 19 years,Males 20 to 24,Males 25 to 29 years,Males 30 to 34 years,Males 35 to 39 years,Males 40 to 44 years,Males 45 to 49 years,Males 50 to 54 years,Males 55 to 59 years,Males 60 and 61 years,Males 62 to 64 years,Males Over 65 years,Females under 18 years,Females 18 and 19 years,Females 20 to 24,Females 25 to 29 years,Females 30 to 34 years,Females 35 to 39 years,Females 40 to 44 years,Females 45 to 49 years,Females 50 to 54 years,Females 55 to 59 years,Females 60 and 61 years,Females 62 to 64 years,Females Over 65 years
0,Alabama,01,4777326.0,577642.0,71202.0,169969.0,152809.0,146288.0,146600.0,156367.0,166638.0,167093.0,148584.0,58420.0,74861.0,281047.0,552587.0,68663.0,170839.0,156907.0,151793.0,156714.0,159431.0,174767.0,178174.0,161752.0,63328.0,82593.0,382258.0
1,Alaska,02,711139.0,96458.0,11069.0,30914.0,28740.0,24771.0,22650.0,25801.0,27606.0,29057.0,27221.0,8377.0,10186.0,27277.0,90168.0,9399.0,25588.0,26068.0,22956.0,22109.0,23003.0,25683.0,26934.0,23956.0,7680.0,8973.0,28495.0
2,Arizona,04,6410979.0,830584.0,96527.0,234083.0,227908.0,213799.0,207899.0,210248.0,210282.0,202297.0,180332.0,70732.0,95597.0,407638.0,794067.0,88970.0,216793.0,217022.0,205095.0,202743.0,205494.0,211629.0,212745.0,196748.0,78462.0,106413.0,486872.0
3,Arkansas,05,2916372.0,363242.0,43533.0,101639.0,96027.0,92044.0,89488.0,94177.0,98984.0,98348.0,89760.0,34974.0,45163.0,183873.0,346142.0,41267.0,99510.0,96409.0,91051.0,91619.0,93458.0,102930.0,101828.0,95204.0,36170.0,51222.0,238310.0
4,California,06,37325068.0,4750152.0,585628.0,1455134.0,1416892.0,1314799.0,1295028.0,1318867.0,1332349.0,1264705.0,1070558.0,386594.0,497802.0,1872512.0,4532654.0,545129.0,1339054.0,1338002.0,1273666.0,1280460.0,1305560.0,1334498.0,1292850.0,1138645.0,413020.0,542516.0,2427994.0
5,Colorado,08,5042853.0,625506.0,73396.0,184059.0,191942.0,185366.0,180574.0,179461.0,182612.0,183493.0,161598.0,59348.0,74295.0,247964.0,594773.0,67178.0,169072.0,180102.0,173439.0,170253.0,173155.0,183742.0,186135.0,167704.0,59641.0,77666.0,310379.0
6,Connecticut,09,3572213.0,415960.0,52813.0,116241.0,108227.0,102780.0,107923.0,128587.0,140156.0,137965.0,115498.0,41704.0,56984.0,214684.0,396252.0,50229.0,109378.0,105722.0,104888.0,114957.0,133660.0,147893.0,144239.0,123384.0,45437.0,61514.0,295138.0
7,Delaware,10,900131.0,105018.0,13532.0,32157.0,28932.0,26650.0,27028.0,29350.0,32331.0,31587.0,26677.0,10589.0,15110.0,57377.0,100583.0,13921.0,31589.0,29124.0,27594.0,28940.0,30755.0,34400.0,34087.0,31484.0,11684.0,16132.0,73500.0
8,District of Columbia,11,605759.0,52488.0,11074.0,27075.0,31914.0,27308.0,21434.0,20064.0,19431.0,18132.0,16154.0,6093.0,7532.0,27728.0,51498.0,13882.0,32310.0,37314.0,29138.0,22627.0,18134.0,18981.0,19068.0,17910.0,7223.0,9930.0,41317.0
9,Florida,12,18885152.0,2046206.0,258363.0,641108.0,600412.0,560548.0,582600.0,632243.0,683601.0,650718.0,573815.0,222826.0,312449.0,1467403.0,1956167.0,242661.0,613023.0,587851.0,559002.0,588799.0,640326.0,701249.0,691423.0,640491.0,252740.0,348967.0,1830161.0
10,Georgia,13,9714569.0,1269249.0,152354.0,352248.0,333769.0,324888.0,335516.0,353593.0,349500.0,324236.0,273809.0,98916.0,135154.0,444252.0,1215702.0,144746.0,337762.0,340653.0,336284.0,354668.0,361412.0,364495.0,343878.0,302346.0,111482.0,151283.0,602374.0
11,Hawaii,15,1362730.0,155685.0,17913.0,53239.0,52159.0,45596.0,43912.0,45278.0,47489.0,48494.0,44512.0,19541.0,22660.0,87020.0,147335.0,15984.0,44442.0,47221.0,43175.0,42101.0,44791.0,47019.0,48836.0,45962.0,18447.0,23891.0,110028.0
