,State,State#,Total State Population,Males under 18 years,Males 18 and 19 years,Males 20 to 24,Males 25 to 29 years,Males 30 to 34 years,Males 35 to 39 years,Males 40 to 44 years,Males 45 to 49 years,Males 50 to 54 years,Males 55 to 59 years,Males 60 and 61 years,Males 62 to 64 years,Males Over 65 years,Females under 18 years,Females 18 and 19 years,Females 20 to 24,Females 25 to 29 years,Females 30 to 34 years,Females 35 to 39 years,Females 40 to 44 years,Females 45 to 49 years,Females 50 to 54 years,Females 55 to 59 years,Females 60 and 61 years,Females 62 to 64 years,Females Over 65 years,Democrat votes 2016,Republican votes 2016
0,Alabama,1,4841164,563314,67790,171466,157445,150718,142795,153127,153538,165372,159393,57496,83307,320432,541875,64288,171023,161732,156669,152831,157463,161471,176258,172841,65434,91124,421962,729547,1318255
1,Alaska,2,736855,96530,10841,33676,32384,28830,25203,22825,24496,27423,26562,9739,12593,34194,91086,8210,25813,28801,25760,22215,21813,22405,25090,25494,9350,10411,35111,116454,163387
2,Arizona,4,6728577,826347,95817,250712,236810,226955,209457,212254,205609,210863,193980,75009,108268,492025,793271,89383,232412,219870,216076,204566,209442,205985,217702,212313,83813,121512,578126,1161209,1252401
3,Arkansas,5,2968472,361531,41841,104762,96753,95829,90575,91825,91401,98508,93411,34931,49676,205651,345703,40287,100757,97426,95308,91286,93337,93594,102388,100763,37363,54230,259336,380494,684872
4,California,6,38654206,4668868,548548,1498315,1505740,1419349,1293345,1294750,1297127,1300080,1179528,430372,567891,2197057,4471415,519943,1392705,1412695,1363383,1278035,1292901,1294480,1323507,1238979,462083,623185,2779925,8753788,4483810
5,Colorado,8,5359295,637433,74213,198603,207489,205243,188656,183409,175786,182810,173732,65844,88824,307594,608748,67883,182065,192351,192927,179556,172745,173510,186432,182687,67910,92399,370446,1338870,1202484
6,Connecticut,9,3588570,395521,54309,125906,112436,108354,102147,112756,127850,137202,129033,45692,60804,238260,378131,52473,116101,107880,109801,104588,120115,135544,145381,134745,50489,66289,316763,897572,673215
7,Delaware,10,934695,103694,12912,32047,31941,29156,26498,27215,30011,32458,30465,11357,16377,68285,100498,12927,31702,31864,29724,28685,28069,32293,35039,35369,12522,18039,85548,235603,185127
8,District of Columbia,11,659009,57804,10131,27144,36030,34033,24647,21493,19235,19353,17605,6072,8580,30502,56881,12344,31708,42094,37066,25774,20866,18976,19295,18526,7653,10533,44664,282830,12723
9,Florida,12,19934451,2076866,245922,665262,660191,617424,588665,618111,652788,693463,641400,239610,337776,1703784,1989410,229916,633388,638989,615923,594164,633332,671345,726973,701147,270593,394168,2093841,4504975,4617886
10,Georgia,13,10099320,1271143,149344,369632,345707,335122,324493,342239,343239,340625,303635,109836,147552,539904,1224032,140669,355038,348319,349832,347763,361101,358119,361883,331842,122025,169835,706391,1877963,2089104
11,Hawaii,15,1413673,158292,16797,55957,54785,51136,44315,45159,44447,46869,46363,19162,24671,101917,149924,15030,44728,48866,48462,43677,43089,44209,46925,48281,18543,26372,125697,266891,128847
12,Idaho,16,1635483,221103,22642,58472,54240,54435,53019,48371,48507,51252,49215,20505,28359,109725,210217,22205,53238,52734,52869,49177,49867,47933,52092,52611,20549,28525,123621,189765,409055
13,Illinois,17,12851684,1525576,177077,457077,451382,444848,416098,418066,425138,447134,418778,155332,206225,767729,1465053,167960,440657,440623,443426,417582,420620,433245,462938,444516,166337,221899,1016368,3090729,2146015
14,Indiana,18,6589578,808589,95685,245845,213314,210903,202924,208123,213177,228785,217747,81208,110018,409004,773403,90946,235423,211008,210483,202776,208221,214538,234785,230461,85070,115823,531319,1033126,1557286
15,Iowa,19,3106589,372648,48195,116683,98673,101628,93193,91438,96256,107318,105000,41207,55474,215275,354866,44670,110687,93413,97563,91254,88739,94286,108288,106948,41857,55524,275506,653669,800983
16,Kansas,20,2898292,368999,42725,113184,97980,98081,89387,85834,87581,96825,96554,33441,47877,183444,352348,39771,102770,93022,95244,86020,84362,86650,99133,97322,37657,49998,232083,427005,671018
17,Kentucky,21,4411989,519961,59854,160263,142822,142473,137521,143699,145975,155508,148554,53822,76635,285658,494229,57437,150172,140562,140971,137236,142304,148575,161731,157371,59696,81618,367342,628854,1202971
18,Louisiana,22,4645670,567850,62901,173664,169347,162758,144108,137510,142660,154526,149898,56020,75355,275087,546172,58771,170333,170262,163843,144702,142987,148834,164657,162855,60512,81420,358638,780154,1178638
19,Maine,23,1329923,133312,17585,40747,38551,37282,35594,40913,45819,52375,53356,19082,27383,109345,126189,16642,38382,38679,38131,36688,42415,47761,54341,55715,21733,28997,132906,357735,335593
20,Maryland,24,5959902,687108,80957,204018,206954,198879,182947,190003,204655,216462,197157,70635,94479,352480,660702,77915,196563,207811,206948,195323,200184,221033,234810,214349,79801,110159,467570,1678006,943428
