Total_population,Income_median,Income_per_capita,Unemployment_rate,Poverty_rate,Latitude,Longitude,median_male_age,median_female_age,population_white_alone,population_black_alone,population_asian_alone,population_hispanic_origin,population_american_indian_alone,median_house_construction_year
583029,59143,30139,0.048970575,0.11279370300000001,42.9957,-107.5512,36.0,37.8,531851,6435,5385,56386,13033,1978
659009,72935,48781,0.08734350099999999,0.170043201,38.9101,-77.0147,33.6,34.0,266035,318598,24036,69106,2174,1951
676253,51641,28700,0.033667027999999995,0.116716673,47.4501,-100.4659,35.3,38.6,608799,8286,6869,14195,36160,1973
5785496,72999,36056,0.07780353799999999,0.091974137,39.055,-76.7909,36.3,39.3,3408049,1700174,323363,472285,17323,1975
2704204,54083,27003,0.118523583,0.14022499800000002,39.3289,-116.6312,35.8,37.0,1970074,218305,196245,717835,30061,1993
1635483,49174,24280,0.062067462000000004,0.149549093,44.3509,-114.613,34.9,36.6,1493155,10433,21630,195589,21454,1984
4340167,42610,23210,0.09473950199999999,0.18005874,37.5347,-85.3021,36.7,39.3,3823344,339228,49681,131039,8607,1977
6353226,44140,24294,0.09762477900000001,0.16826365100000001,35.858000000000004,-86.3505,36.6,39.2,4982977,1060494,92800,288582,15991,1981
3572213,69519,37807,0.091581534,0.096471291,41.6219,-72.7273,38.5,41.2,2802217,355660,138355,480185,8531,1963
4411989,44811,24802,0.075582726,0.18226224,37.5347,-85.3021,37.2,40.0,3859516,350242,57084,146945,9052,1979
4630351,44623,23906,0.110886221,0.170135698,33.9169,-80.8964,36.3,39.3,3108466,1290704,57635,232926,15122,1985
5313081,59126,30656,0.070266958,0.10960401300000001,46.2807,-94.3053,36.2,38.5,4570137,271953,216159,250025,56770,1974
12783977,54895,30137,0.07193342,0.128892754,40.8781,-77.7996,38.9,42.2,10402743,1410563,401979,843164,24947,1962
3836628,50036,26702,0.107671159,0.152232377,43.9336,-120.5583,37.3,39.5,3272707,69377,143652,449888,52637,1977
19398125,57683,32104,0.08747068699999999,0.14508665099999998,42.9538,-75.5268,36.3,39.4,12808268,3037255,1445539,3425845,69500,1955
5359295,62520,33230,0.059944683,0.11903394,38.9972,-105.5478,35.5,37.4,4517058,219349,157523,1132292,50160,1982
1567803,47015,22581,0.08545781300000001,0.147725193,44.3509,-114.613,33.8,35.5,1445289,8821,19097,175512,19376,1981
5959902,76067,37756,0.06706914900000001,0.09678598699999999,39.055,-76.7909,36.7,39.8,3408240,1765926,362259,550146,15946,1976
626249,56104,30663,0.049624772000000004,0.11125446900000001,44.0687,-72.6658,41.3,43.8,592965,7404,9212,10900,1984,1974
736855,74444,34191,0.078467975,0.098833556,64.0685,-152.2782,33.3,34.0,483518,24443,44218,49031,103574,1984
9897264,48471,25547,0.12587205699999998,0.15984437699999998,44.3467,-85.4102,37.5,40.0,7852317,1391269,245587,438398,55723,1969
12851684,59196,31502,0.08168487,0.136459238,40.0417,-89.1965,36.1,38.7,9270907,1837612,655799,2136474,29399,1967
2967620,38882,20670,0.10617695199999999,0.215705515,32.7364,-89.6678,34.5,37.4,1768530,1101849,26403,78634,13344,1981
2968472,42336,23401,0.06853506,0.18273071100000002,34.8938,-92.4426,36.4,39.2,2307136,460638,41539,207049,18697,1983
12823860,56853,29519,0.099098311,0.133381447,40.0417,-89.1965,35.3,38.0,9298731,1860471,595110,2027384,26669,1966
2082669,45674,24459,0.084788251,0.20493607,34.4071,-106.1126,35.7,38.7,1530636,41957,29168,995831,193295,1982
8310301,66149,34967,0.05949490599999999,0.11090621099999999,37.5215,-78.8537,36.5,39.1,5712958,1596352,502878,725092,21948,1981
1052471,56102,30005,0.09536699400000001,0.126808245,41.6762,-71.5562,37.6,40.9,859686,64711,31863,131316,4784,1957
5754798,54610,29253,0.055012639,0.123978635,44.6243,-89.9941,38.0,40.3,4961193,361730,148077,371205,51459,1972
3106589,54570,28872,0.045287515,0.11904632400000001,42.0751,-93.49600000000001,36.7,39.4,2823890,103052,66570,172707,9951,1967
990785,45456,25002,0.069173503,0.144450108,47.0527,-109.6333,38.8,41.0,887924,4145,6034,28984,62398,1975
8014955,63636,33326,0.069081771,0.107178643,37.5215,-78.8537,36.1,38.7,5575445,1561042,443460,631669,25205,1979
6742143,70954,38069,0.06781313900000001,0.10988138300000001,42.2596,-71.8083,37.8,40.8,5343665,489233,411736,731739,13931,1959
5450868,63217,33225,0.048451414000000005,0.10589065800000001,46.2807,-94.3053,36.7,38.8,4597525,310853,246819,276026,56904,1976
3588570,71755,39906,0.079543058,0.100447811,41.6219,-72.7273,38.8,42.1,2768080,372696,152782,537728,9399,1964
6560595,66658,35485,0.084665256,0.10643638300000001,42.2596,-71.8083,37.7,40.3,5310948,446347,357354,630406,12908,1958
5982413,47333,25546,0.085347862,0.14526513,38.3566,-92.458,36.5,39.2,4972530,689683,96035,212152,22704,1974
9544249,46450,25285,0.104895034,0.163812155,35.5557,-79.3877,36.0,38.7,6659867,2047092,211708,796293,110171,1985
1317474,64925,32758,0.065790641,0.081823247,43.6805,-71.5811,40.3,42.0,1241440,15339,28684,37355,2470,1975
8915456,73702,37538,0.07862535799999999,0.10648260699999999,40.1907,-74.6728,37.9,41.0,6075710,1207221,819208,1719831,18470,1966
6485530,48374,24558,0.094082495,0.142952542,39.8942,-86.2816,35.6,38.3,5500814,582691,102713,389094,15241,1971
2898292,53571,28478,0.053094324000000005,0.128752382,38.4937,-98.3804,35.0,37.6,2468923,167706,77605,327739,23871,1972
562803,56573,28858,0.051044075999999994,0.10773929800000001,42.9957,-107.5512,36.1,37.9,513021,4689,4392,50313,12951,1976
19697457,60741,34212,0.07516993400000001,0.150657214,42.9538,-75.5268,36.6,39.8,12667413,3073278,1599216,3661929,75751,1956
2916372,40531,22007,0.085633414,0.181838599,34.8938,-92.4426,36.1,38.7,2285577,453062,35744,185239,17390,1981
25208897,51563,25809,0.077443739,0.16939329,31.4757,-99.3312,32.6,34.7,18670767,2972834,979385,9479670,127794,1983
1362730,67492,29227,0.067136475,0.10493714800000001,20.2927,-156.3737,37.0,39.9,339079,22399,527745,122882,3079,1977
3875589,48038,25628,0.059746517,0.16027370300000002,35.5889,-97.4943,35.0,37.6,2823497,281295,77541,381467,286231,1977
625498,54168,28846,0.065383408,0.11096918,44.0687,-72.6658,40.5,42.9,596251,5804,7891,9452,1855,1972
736162,59114,33107,0.027652556000000002,0.10773987199999999,47.4501,-100.4659,34.1,36.5,649730,14761,9296,22997,38369,1976
4645670,45652,25515,0.076719169,0.19148368300000002,31.0689,-91.9968,35.0,37.5,2909290,1494201,78719,223408,26403,1978
4834605,46898,25521,0.083680147,0.166802045,33.9169,-80.8964,37.3,40.3,3252252,1322368,68553,258361,15417,1986
3982267,53270,28822,0.080664006,0.15423953199999998,43.9336,-120.5583,38.0,40.2,3387825,74012,160155,494806,45233,1978
5687219,52627,27426,0.074659175,0.12147096800000001,44.6243,-89.9941,37.4,39.6,4961852,353470,129550,335208,49289,1971
2839172,53094,27253,0.093004255,0.146964326,39.3289,-116.6312,36.8,38.1,1933057,243552,222612,790497,31927,1994
1054491,58387,31904,0.077293727,0.13291815699999998,41.6762,-71.5562,38.1,41.5,854026,68886,34598,148375,5130,1959
1329084,48219,26464,0.07435198900000001,0.129144584,45.3695,-69.2428,41.6,43.8,1266435,14338,13971,17241,7168,1972
9940828,48256,26779,0.083155205,0.164141659,35.5557,-79.3877,36.8,39.7,6882915,2137131,254550,884763,117479,1986
12699589,52267,28190,0.084674329,0.12633983699999998,40.8781,-77.7996,38.6,41.5,10475818,1372144,351626,721899,19247,1960
6410979,50256,25571,0.09774401099999999,0.167678915,34.2744,-111.6602,34.8,37.2,5085954,262284,177598,1902946,283805,1988
2055287,44886,23749,0.090928664,0.191281802,34.4071,-106.1126,35.2,38.0,1492641,41634,26855,952569,189785,1981
11586941,50674,27800,0.07247603,0.149551033,40.2862,-82.7937,37.8,40.8,9519506,1421943,224520,400932,21459,1967
4841164,44758,24736,0.082855903,0.179433293,32.7794,-86.8287,37.1,40.0,3325037,1282053,60744,193503,23919,1982
3749005,44891,24046,0.06765387099999999,0.160735448,35.5889,-97.4943,34.9,37.7,2766297,270993,65643,331057,261060,1975
37325068,61400,29551,0.110285177,0.149767979,37.1841,-119.4696,34.1,36.4,23252553,2254160,4921543,14024109,291505,1973
4777326,43160,23587,0.10262889300000001,0.176310346,32.7794,-86.8287,36.4,39.2,3321318,1256097,54923,182268,26166,1980
934695,61017,31118,0.071338522,0.117094881,38.9896,-75.505,38.0,41.1,647002,203027,34428,82662,3494,1983
5042853,58244,31039,0.080378201,0.12569829,38.9972,-105.5478,35.1,37.1,4243753,201424,136882,1040478,49099,1980
7073146,62848,32999,0.068425926,0.124874561,47.3826,-120.4472,36.6,38.6,5470566,256990,552032,854275,94026,1980
711139,69917,32537,0.084215698,0.09369616900000001,64.0685,-152.2782,33.6,34.0,477985,24219,37968,40371,98976,1982
2948427,62518,25600,0.050518912,0.114911443,39.3055,-111.6703,29.8,30.9,2572595,32512,66039,397915,31686,1986
815871,49091,25570,0.049471456,0.13276486099999998,44.4443,-100.2263,35.7,38.5,701466,10331,8060,22778,71532,1973
18885152,47309,26451,0.11324762199999999,0.152879416,28.6305,-82.4497,39.4,42.2,14438364,3005551,464587,4247427,58119,1984
4529605,44673,24264,0.084037421,0.18130146,31.0689,-91.9968,34.6,37.3,2856883,1450992,71460,192582,28702,1977
6548009,46574,26019,0.075065903,0.168015804,35.858000000000004,-86.3505,37.2,39.8,5096733,1100577,105368,327345,18757,1982
