State,Total_population,Income_median,Income_per_capita,median_male_age,median_female_age,population_white_alone,population_black_alone,population_asian_alone,population_hispanic_origin,population_american_indian_alone,median_house_construction_year,Poverty_rate,Unemployment_rate,Latitude,Longitude
Alabama,4864680,48486,26846,37.4,40.3,3317453,1293186,64609,203146,25576,1983,0.17049425699999998,0.066482784,32.7794,-86.8287
Alaska,738516,76715,35874,33.6,34.5,478834,24129,46556,51186,106660,1984,0.10543441199999999,0.074012642,64.0685,-152.2782
Arizona,6946685,56213,29265,36.1,38.7,5364141,305259,228887,2163312,309580,1990,0.157224921,0.06455823200000001,34.2744,-111.6602
Arkansas,2990671,45726,25635,36.6,39.3,2302874,460970,43988,219052,20037,1984,0.170642976,0.055388852999999995,34.8938,-92.4426
California,39148760,71228,35021,35.2,37.5,23529068,2267875,5604339,15221577,296475,1974,0.14016129800000002,0.067318767,37.1841,-119.4696
Colorado,5531141,68811,36415,35.7,37.6,4655584,227938,172695,1184794,54483,1983,0.10675988900000001,0.046774095999999994,38.9972,-105.5478
Connecticut,3581504,76106,43056,39.1,42.6,2734880,378262,158817,561791,9698,1964,0.09729125,0.06502375099999999,41.6219,-72.7273
Delaware,949495,65627,33989,38.5,42.0,654905,209892,36723,86315,3455,1984,0.115638313,0.05944557,38.9896,-75.505
District of Columbia,684498,82604,53321,33.8,34.1,280469,321317,26718,74776,1993,1953,0.15996686599999999,0.073696518,38.9101,-77.0147
Florida,20598139,53267,30197,40.3,43.5,15529098,3316376,559168,5184720,58118,1986,0.144860223,0.06307418,28.6305,-82.4497
Georgia,10297484,55679,29523,35.2,37.8,6079976,3239300,402501,968463,33484,1988,0.156126875,0.064008562,32.6415,-83.4426
Hawaii,1422029,78084,34035,37.4,40.4,355612,26266,536842,147962,2987,1979,0.096704076,0.04515407,20.2927,-156.3737
Idaho,1687809,53089,26772,35.4,36.9,1527262,11536,23758,209073,22790,1986,0.135608946,0.04671783400000001,44.3509,-114.613
Illinois,12821497,63575,34463,36.6,39.2,9189185,1824125,690822,2174842,31864,1968,0.127567241,0.06560592,40.0417,-89.1965
Indiana,6637426,54325,28461,36.4,38.9,5548277,619472,144991,450267,14925,1973,0.136854106,0.054095150999999994,39.8942,-86.2816
Iowa,3132499,58580,31085,36.9,39.3,2827889,109911,75083,183296,11549,1969,0.112891975,0.03894197,42.0751,-93.49600000000001
Kansas,2908776,57422,30757,35.3,37.9,2460619,169801,83531,340616,24050,1973,0.120421786,0.043541599,38.4937,-98.3804
Kentucky,4440204,48392,26948,37.3,40.1,3866676,354112,62802,158744,9888,1979,0.173883903,0.061480027,37.5347,-85.3021
Louisiana,4663616,47942,27027,35.4,37.9,2901106,1502916,79872,234920,26272,1979,0.188350413,0.068708118,31.0689,-91.9968
Maine,1332813,55425,31253,43.2,45.8,1259217,17881,14917,21421,8302,1975,0.121354609,0.046176392000000004,45.3695,-69.2428
Maryland,6003435,81868,40517,37.0,40.1,3373181,1788090,374277,588912,15644,1977,0.092196551,0.056022697999999996,39.055,-76.7909
